mtry,trees,min_n,.metric,.estimator,mean,n,std_err,.config
4,1,1,rmse,standard,3.113048263871355,5,0.0791487144726587,Preprocessor1_Model003
2,1,2,rmse,standard,3.0710710955697382,5,0.06334176363234996,Preprocessor1_Model027
2,1,1,rmse,standard,3.0513937250357905,5,0.06966899356207101,Preprocessor1_Model002
6,1,2,rmse,standard,3.0161373338542004,5,0.07922855186581855,Preprocessor1_Model029
4,1,4,rmse,standard,3.009914507659637,5,0.02621459977350862,Preprocessor1_Model053
6,1,1,rmse,standard,3.005467810028993,5,0.05676946982186356,Preprocessor1_Model004
8,1,2,rmse,standard,2.994208631152376,5,0.04314607762321176,Preprocessor1_Model030
8,1,1,rmse,standard,2.9873107492073094,5,0.039292009536352354,Preprocessor1_Model005
4,1,2,rmse,standard,2.979676727542887,5,0.05687569225966323,Preprocessor1_Model028
4,1,6,rmse,standard,2.9558643585163007,5,0.05876520248298389,Preprocessor1_Model078
6,1,4,rmse,standard,2.9477697602325104,5,0.0438208234513584,Preprocessor1_Model054
8,1,6,rmse,standard,2.940580983322914,5,0.03602930770507317,Preprocessor1_Model080
2,1,4,rmse,standard,2.92001477097667,5,0.0768634765854525,Preprocessor1_Model052
8,1,4,rmse,standard,2.9165568816321517,5,0.06451254992721951,Preprocessor1_Model055
6,1,6,rmse,standard,2.9140594129217883,5,0.06447263148262565,Preprocessor1_Model079
2,1,6,rmse,standard,2.9117492520170067,5,0.032634461549109886,Preprocessor1_Model077
6,1,8,rmse,standard,2.8980562887464143,5,0.05161764657499599,Preprocessor1_Model104
8,1,8,rmse,standard,2.827683333886364,5,0.04583983043252819,Preprocessor1_Model105
2,1,8,rmse,standard,2.783801869122683,5,0.07131258705259716,Preprocessor1_Model102
4,1,8,rmse,standard,2.7725675296883265,5,0.02844966837013628,Preprocessor1_Model103
1,1,4,rmse,standard,2.7247842985248116,5,0.03146974612475694,Preprocessor1_Model051
1,1,6,rmse,standard,2.7095499994530945,5,0.05678780864256571,Preprocessor1_Model076
1,1,8,rmse,standard,2.706955215997755,5,0.065941949790976,Preprocessor1_Model101
1,1,2,rmse,standard,2.650718220208641,5,0.09029816246238717,Preprocessor1_Model026
1,1,1,rmse,standard,2.6494556177361575,5,0.04874449250075231,Preprocessor1_Model001
1,250,6,rmse,standard,2.330744216601148,5,0.06817355133077162,Preprocessor1_Model086
1,125,4,rmse,standard,2.324550510621919,5,0.06193285422109212,Preprocessor1_Model056
1,125,1,rmse,standard,2.324290541770358,5,0.06098173555364449,Preprocessor1_Model006
1,125,2,rmse,standard,2.3231070088593215,5,0.06316312230147703,Preprocessor1_Model031
1,125,6,rmse,standard,2.3210018858708485,5,0.061803115481972294,Preprocessor1_Model081
1,250,8,rmse,standard,2.3202941432211053,5,0.06496655543074144,Preprocessor1_Model111
1,500,6,rmse,standard,2.319797698776305,5,0.06405150691429834,Preprocessor1_Model096
