mtry,trees,min_n,.metric,.estimator,mean,n,std_err,.config
4,143,4,roc_auc,hand_till,0.7336462091626774,5,0.010722953667650525,Preprocessor1_Model212
4,286,6,roc_auc,hand_till,0.7317776221243483,5,0.015471400345101175,Preprocessor1_Model356
7,72,8,roc_auc,hand_till,0.7315157862052704,5,0.011312585201321435,Preprocessor1_Model463
6,286,7,roc_auc,hand_till,0.730399149821372,5,0.010109783407166641,Preprocessor1_Model422
4,143,3,roc_auc,hand_till,0.7302682719562182,5,0.008235790324364093,Preprocessor1_Model148
3,286,3,roc_auc,hand_till,0.7299603993449231,5,0.013835258563932367,Preprocessor1_Model163
4,143,6,roc_auc,hand_till,0.7298860255925732,5,0.013872233111375734,Preprocessor1_Model340
5,286,3,roc_auc,hand_till,0.7296235783653442,5,0.010873715732306811,Preprocessor1_Model165
4,428,6,roc_auc,hand_till,0.7291735237352301,5,0.011423190575163325,Preprocessor1_Model372
7,214,3,roc_auc,hand_till,0.7288792487935345,5,0.008069556458162938,Preprocessor1_Model159
6,500,3,roc_auc,hand_till,0.7286175709505074,5,0.008291018344311502,Preprocessor1_Model190
8,143,7,roc_auc,hand_till,0.7285218457064686,5,0.009111148883130036,Preprocessor1_Model408
5,500,2,roc_auc,hand_till,0.7284993618411276,5,0.009965750078261127,Preprocessor1_Model125
5,428,2,roc_auc,hand_till,0.7283054273988797,5,0.012411746876076029,Preprocessor1_Model117
7,286,6,roc_auc,hand_till,0.7280118594992602,5,0.011133892185912236,Preprocessor1_Model359
7,428,5,roc_auc,hand_till,0.7279236371946689,5,0.011861114310351185,Preprocessor1_Model311
6,428,3,roc_auc,hand_till,0.7278739532660168,5,0.01046092067817437,Preprocessor1_Model182
5,214,4,roc_auc,hand_till,0.7278696923593748,5,0.006938556110200537,Preprocessor1_Model221
5,357,5,roc_auc,hand_till,0.7277859499664063,5,0.010315614074710983,Preprocessor1_Model301
5,143,6,roc_auc,hand_till,0.7277636313844151,5,0.012172571542471998,Preprocessor1_Model341
4,500,6,roc_auc,hand_till,0.7272281041452668,5,0.0121807808263557,Preprocessor1_Model380
3,72,7,roc_auc,hand_till,0.7271647357162238,5,0.012603524008028395,Preprocessor1_Model395
3,143,1,roc_auc,hand_till,0.727130470763804,5,0.01130136297561379,Preprocessor1_Model019
4,500,4,roc_auc,hand_till,0.727056983166011,5,0.010848613833951847,Preprocessor1_Model252
4,214,2,roc_auc,hand_till,0.7269726343505113,5,0.01283255048763832,Preprocessor1_Model092
6,357,3,roc_auc,hand_till,0.7269362272758106,5,0.010618400670270712,Preprocessor1_Model174
6,500,7,roc_auc,hand_till,0.7268144432250583,5,0.010238400318055995,Preprocessor1_Model446
5,143,1,roc_auc,hand_till,0.7268032946036913,5,0.007793830128429914,Preprocessor1_Model021
5,357,7,roc_auc,hand_till,0.7267715764724694,5,0.009174643916409691,Preprocessor1_Model429
5,214,6,roc_auc,hand_till,0.7267344116017727,5,0.009425678422710325,Preprocessor1_Model349
4,72,7,roc_auc,hand_till,0.7266985109760903,5,0.01361036563438827,Preprocessor1_Model396
6,357,1,roc_auc,hand_till,0.7265684564590318,5,0.012513209062039095,Preprocessor1_Model046
6,286,1,roc_auc,hand_till,0.7265654961367263,5,0.009420785897224344,Preprocessor1_Model038
8,286,1,roc_auc,hand_till,0.7265122038345252,5,0.008709933243971932,Preprocessor1_Model040
5,286,8,roc_auc,hand_till,0.7264618786379698,5,0.01007126121041904,Preprocessor1_Model485
6,500,2,roc_auc,hand_till,0.7264382833546523,5,0.010128523703085238,Preprocessor1_Model126
3,286,4,roc_auc,hand_till,0.7264086961208984,5,0.012449758413475637,Preprocessor1_Model227
4,286,7,roc_auc,hand_till,0.7263649739406685,5,0.010577018851809936,Preprocessor1_Model420
8,428,1,roc_auc,hand_till,0.7262464341434579,5,0.011318976252319788,Preprocessor1_Model056
8,214,4,roc_auc,hand_till,0.7262221603242437,5,0.009127524400473682,Preprocessor1_Model224
4,428,1,roc_auc,hand_till,0.72620734413661,5,0.0119874071016421,Preprocessor1_Model052
5,500,4,roc_auc,hand_till,0.7261399378436085,5,0.008177543682569741,Preprocessor1_Model253
6,428,1,roc_auc,hand_till,0.7261097353043782,5,0.010327745647178591,Preprocessor1_Model054
8,428,5,roc_auc,hand_till,0.7260366553530243,5,0.009195948308997021,Preprocessor1_Model312
5,428,5,roc_auc,hand_till,0.7259438438362049,5,0.01060810020580149,Preprocessor1_Model309
3,72,6,roc_auc,hand_till,0.725918596688438,5,0.013737921673756403,Preprocessor1_Model331
6,357,4,roc_auc,hand_till,0.725895730896822,5,0.01008741314232289,Preprocessor1_Model238
5,357,4,roc_auc,hand_till,0.7256149089740359,5,0.011616505572488875,Preprocessor1_Model237
6,357,7,roc_auc,hand_till,0.7256133087114238,5,0.009355107555679941,Preprocessor1_Model430
7,357,8,roc_auc,hand_till,0.7255276063369317,5,0.008787712424353533,Preprocessor1_Model495
6,286,2,roc_auc,hand_till,0.7254923670667223,5,0.009278746790072291,Preprocessor1_Model102
4,286,8,roc_auc,hand_till,0.725395778339826,5,0.00985576221302888,Preprocessor1_Model484
6,428,8,roc_auc,hand_till,0.7253850709989598,5,0.009382880664087677,Preprocessor1_Model502
5,143,4,roc_auc,hand_till,0.7253822982279331,5,0.010709449787334513,Preprocessor1_Model213
4,428,7,roc_auc,hand_till,0.7253361408286011,5,0.011102635408983968,Preprocessor1_Model436
7,500,7,roc_auc,hand_till,0.7253231433836592,5,0.01046485833973717,Preprocessor1_Model447
7,214,8,roc_auc,hand_till,0.725322960071968,5,0.009910039709120223,Preprocessor1_Model479
3,428,2,roc_auc,hand_till,0.7253094030014665,5,0.010615506075577407,Preprocessor1_Model115
6,500,5,roc_auc,hand_till,0.7252793675827405,5,0.013194395853309821,Preprocessor1_Model318
6,500,1,roc_auc,hand_till,0.7252420968434857,5,0.010428761589382206,Preprocessor1_Model062
5,428,1,roc_auc,hand_till,0.7252324444937044,5,0.011019899433323327,Preprocessor1_Model053
7,214,4,roc_auc,hand_till,0.7252177529095684,5,0.012954451430970012,Preprocessor1_Model223
4,500,5,roc_auc,hand_till,0.7251890342865541,5,0.009108394230566917,Preprocessor1_Model316
6,500,8,roc_auc,hand_till,0.7251705627668922,5,0.010335268880135954,Preprocessor1_Model510
3,143,6,roc_auc,hand_till,0.7251623432967679,5,0.010555677617395383,Preprocessor1_Model339
4,214,3,roc_auc,hand_till,0.7251368264910427,5,0.011090959312775227,Preprocessor1_Model156
5,500,3,roc_auc,hand_till,0.725090633983888,5,0.011000909350369372,Preprocessor1_Model189
3,214,8,roc_auc,hand_till,0.7250888570717935,5,0.012633816339564225,Preprocessor1_Model475
7,357,3,roc_auc,hand_till,0.7250852032740922,5,0.010970085563013631,Preprocessor1_Model175
4,214,7,roc_auc,hand_till,0.7250704963466867,5,0.009991111635544676,Preprocessor1_Model412
4,500,2,roc_auc,hand_till,0.7250545848111324,5,0.010884914025026553,Preprocessor1_Model124
4,500,1,roc_auc,hand_till,0.7250544395547868,5,0.011092365523216585,Preprocessor1_Model060
5,72,7,roc_auc,hand_till,0.7250426225927218,5,0.011567545011156307,Preprocessor1_Model397
4,357,2,roc_auc,hand_till,0.7249887692517654,5,0.00796495561993597,Preprocessor1_Model108
4,214,5,roc_auc,hand_till,0.7249646478961955,5,0.012988914010492946,Preprocessor1_Model284
6,428,5,roc_auc,hand_till,0.724928691146449,5,0.01181038802843415,Preprocessor1_Model310
7,428,6,roc_auc,hand_till,0.7249241616114632,5,0.009743891923993712,Preprocessor1_Model375
4,286,3,roc_auc,hand_till,0.7248890973958434,5,0.011915755518809886,Preprocessor1_Model164
6,357,2,roc_auc,hand_till,0.7248485240178693,5,0.012340124105887574,Preprocessor1_Model110
8,428,7,roc_auc,hand_till,0.7248269379356681,5,0.010546395060025922,Preprocessor1_Model440
6,500,4,roc_auc,hand_till,0.7248218969045357,5,0.010122771349601885,Preprocessor1_Model254
5,357,3,roc_auc,hand_till,0.7248179395927412,5,0.011103961234282422,Preprocessor1_Model173
3,214,5,roc_auc,hand_till,0.724771408019523,5,0.012131010135760473,Preprocessor1_Model283
7,214,6,roc_auc,hand_till,0.7247706844632439,5,0.011889462123191091,Preprocessor1_Model351
5,500,6,roc_auc,hand_till,0.7247174937092595,5,0.010693063072629426,Preprocessor1_Model381
7,428,2,roc_auc,hand_till,0.7247158907817638,5,0.011324486611934121,Preprocessor1_Model119
4,286,5,roc_auc,hand_till,0.7246870508863564,5,0.009712215776656858,Preprocessor1_Model292
7,143,1,roc_auc,hand_till,0.7246206209098075,5,0.008951388617876616,Preprocessor1_Model023
5,286,1,roc_auc,hand_till,0.7246126386748907,5,0.010813083776124778,Preprocessor1_Model037
7,357,1,roc_auc,hand_till,0.724475062544011,5,0.010448702069456655,Preprocessor1_Model047
8,428,6,roc_auc,hand_till,0.7243965936730817,5,0.011676477774771139,Preprocessor1_Model376
5,357,1,roc_auc,hand_till,0.7243863223435149,5,0.013660231872525935,Preprocessor1_Model045
8,357,3,roc_auc,hand_till,0.7243617238324579,5,0.009728664998410644,Preprocessor1_Model176
4,357,7,roc_auc,hand_till,0.7243362084197401,5,0.011326891050701999,Preprocessor1_Model428
4,500,8,roc_auc,hand_till,0.7242989876672417,5,0.011659426422607805,Preprocessor1_Model508
4,214,4,roc_auc,hand_till,0.7242924058892314,5,0.012575822585267791,Preprocessor1_Model220
7,143,4,roc_auc,hand_till,0.7241879549481235,5,0.007606005767902635,Preprocessor1_Model215
6,357,5,roc_auc,hand_till,0.7240898339535243,5,0.01230671168436891,Preprocessor1_Model302
7,500,2,roc_auc,hand_till,0.7240666211213831,5,0.011370395104060179,Preprocessor1_Model127
6,214,5,roc_auc,hand_till,0.7240450393595234,5,0.012250195254765525,Preprocessor1_Model286
6,357,8,roc_auc,hand_till,0.7239610807072117,5,0.011407312153170857,Preprocessor1_Model494
5,357,2,roc_auc,hand_till,0.7239601175738576,5,0.010493354942983361,Preprocessor1_Model109
7,500,1,roc_auc,hand_till,0.7239296487885278,5,0.011253691851558568,Preprocessor1_Model063
7,214,5,roc_auc,hand_till,0.7238946617939673,5,0.0070084077628593325,Preprocessor1_Model287
8,500,2,roc_auc,hand_till,0.7238758136374208,5,0.008629741953133542,Preprocessor1_Model128
8,428,3,roc_auc,hand_till,0.7238632583208972,5,0.01046203061750753,Preprocessor1_Model184
6,500,6,roc_auc,hand_till,0.7238631327079739,5,0.011565319832246809,Preprocessor1_Model382
6,72,6,roc_auc,hand_till,0.7238448208996323,5,0.007528077371602624,Preprocessor1_Model334
5,72,1,roc_auc,hand_till,0.7238332059034439,5,0.011750139497634291,Preprocessor1_Model013
8,500,1,roc_auc,hand_till,0.7238285193623983,5,0.010516868532717289,Preprocessor1_Model064
5,357,6,roc_auc,hand_till,0.7238185730678787,5,0.01539695086400341,Preprocessor1_Model365
3,500,6,roc_auc,hand_till,0.723785096073092,5,0.010488549838997609,Preprocessor1_Model379
3,428,3,roc_auc,hand_till,0.7237609358344477,5,0.008893146648488549,Preprocessor1_Model179
3,500,4,roc_auc,hand_till,0.7237570206762667,5,0.01364909462347969,Preprocessor1_Model251
3,357,3,roc_auc,hand_till,0.723727720563534,5,0.015589299589319606,Preprocessor1_Model171
5,428,7,roc_auc,hand_till,0.723650425129691,5,0.010329058380634948,Preprocessor1_Model437
5,143,8,roc_auc,hand_till,0.7236124278866342,5,0.00900637736500707,Preprocessor1_Model469
4,500,7,roc_auc,hand_till,0.7236030675636826,5,0.010711505441267699,Preprocessor1_Model444
4,357,6,roc_auc,hand_till,0.7235982173139911,5,0.010877348391495756,Preprocessor1_Model364
3,286,6,roc_auc,hand_till,0.7235024517736819,5,0.013626106257575111,Preprocessor1_Model355
8,214,8,roc_auc,hand_till,0.723464991545051,5,0.01162100815147016,Preprocessor1_Model480
8,214,2,roc_auc,hand_till,0.7234534382449561,5,0.009016529273207822,Preprocessor1_Model096
7,143,6,roc_auc,hand_till,0.7233004467717761,5,0.010229665884774157,Preprocessor1_Model343
4,286,2,roc_auc,hand_till,0.7232983205176657,5,0.011729321392894504,Preprocessor1_Model100
4,428,3,roc_auc,hand_till,0.7232726910398537,5,0.010375896752059754,Preprocessor1_Model180
6,286,8,roc_auc,hand_till,0.7232680127155325,5,0.012521391115308363,Preprocessor1_Model486
6,143,5,roc_auc,hand_till,0.7232426375322208,5,0.009830360894366168,Preprocessor1_Model278
3,286,8,roc_auc,hand_till,0.7232402282755457,5,0.011529344881118873,Preprocessor1_Model483
8,428,4,roc_auc,hand_till,0.7232295103558993,5,0.010489552081072865,Preprocessor1_Model248
5,428,6,roc_auc,hand_till,0.7232255564357747,5,0.010464076653189169,Preprocessor1_Model373
8,357,2,roc_auc,hand_till,0.7232120344125305,5,0.011690167391321575,Preprocessor1_Model112
6,428,7,roc_auc,hand_till,0.7232048366022572,5,0.009322005129587252,Preprocessor1_Model438
6,72,3,roc_auc,hand_till,0.7231993258450103,5,0.010379582750478952,Preprocessor1_Model142
8,214,6,roc_auc,hand_till,0.7231912917659941,5,0.009598507746943383,Preprocessor1_Model352
8,214,5,roc_auc,hand_till,0.7231059711966458,5,0.009754217488783459,Preprocessor1_Model288
3,214,1,roc_auc,hand_till,0.7231019288104605,5,0.011750153006430172,Preprocessor1_Model027
5,428,8,roc_auc,hand_till,0.7230563645899956,5,0.010218929022180457,Preprocessor1_Model501
7,428,4,roc_auc,hand_till,0.72303579552428765,5,0.01144114447573015,Preprocessor1_Model247
8,286,2,roc_auc,hand_till,0.7229949270104529,5,0.00781246425314589,Preprocessor1_Model104
6,428,4,roc_auc,hand_till,0.7229649588800382,5,0.012070659951723763,Preprocessor1_Model246
7,286,5,roc_auc,hand_till,0.7229473498943736,5,0.008268360016299707,Preprocessor1_Model295
6,214,1,roc_auc,hand_till,0.7229144400352733,5,0.010981935727850917,Preprocessor1_Model030
3,428,5,roc_auc,hand_till,0.7229120552470751,5,0.009452251382606422,Preprocessor1_Model307
